name,language,commits,watch_count
orocrm/platform,PHP,346,64
consulo/consulo,Java,257,100
vivisect/vivisect,Python,182,67
rmosolgo/graphql-ruby,Ruby,177,216
minbrowser/min,JavaScript,118,433
GoogleCloudPlatform/nodejs-docs-samples,JavaScript,200,83
google/closure-compiler,Java,138,464
ianopolous/Peergos,Java,99,203
google/closure-library,JavaScript,80,307
hajimehoshi/ebiten,PHP,411,60
miekg/coredns,PHP,108,144
biezhi/blade,Java,99,415
skylot/jadx,Java,76,873
afragen/github-updater,PHP,64,175
GoogleCloudPlatform/PerfKitBenchmarker,Python,63,94
Graylog2/graylog2-server,Java,157,457
askmike/gekko,JavaScript,98,93
frappe/erpnext,Python,190,287
Activiti/Activiti,Java,231,279
apache/pdfbox,Java,146,62
philc/vimium,JavaScript,143,1008
apache/tomcat,Java,123,278
twitter/heron,Java,94,1755
angular/angular.js,JavaScript,184,5347
Tribler/tribler,Python,131,154
orvice/ss-panel,PHP,123,608
gepd/Deviot,Python,115,80
developit/preact,JavaScript,88,2797
influxdata/influxdb,PHP,999,1229
blazegraph/database,Java,714,90
cuba-platform/cuba,Java,108,81
Netflix/lemur,Python,97,60
pika/pika,Python,72,98
node-nock/nock,JavaScript,61,358
golang/net,PHP,59,144
ChromeDevTools/devtools-frontend,JavaScript,633,79
wistityhq/strapi,JavaScript,376,379
cinchapi/concourse,Java,93,54
guyonroche/exceljs,JavaScript,59,197
ipfs/go-libp2p,PHP,111,136
bcgit/bc-java,Java,81,53
rrag/react-stockcharts,JavaScript,81,156
arskom/spyne,Python,86,75
getguesstimate/guesstimate-app,JavaScript,82,1442
propelorm/Propel2,PHP,71,124
LLK/scratch-blocks,JavaScript,58,156
hankcs/HanLP,Python,99,454
toolbox4minecraft/amidst,Java,83,130
testcontainers/testcontainers-java,Java,74,124
Freeyourgadget/Gadgetbridge,Java,67,192
matrix-org/synapse,Python,384,311
appium/appium,JavaScript,269,741
IDSIA/sacred,Python,96,84
brianc/node-postgres,JavaScript,96,582
alibaba/canal,Java,72,451
nltk/nltk,Python,813,653
FriendsOfPHP/PHP-CS-Fixer,PHP,520,534
ipython/ipython,Python,545,1344
spring-projects/spring-framework,Java,348,1955
crate/crate,Java,195,193
GovernmentCommunicationsHeadquarters/Gaffer,Java,181,157
brython-dev/brython,Python,144,151
zalando/patroni,Python,96,98
lonnieezell/CodeIgniter4,PHP,64,76
GoogleCloudPlatform/python-docs-samples,Python,347,98
tendermint/tendermint,PHP,281,83
GooTechnologies/goojs,JavaScript,209,157
praetorian-inc/pentestly,Python,189,420
micro/go-micro,PHP,141,464
Vincit/objection.js,JavaScript,80,199
Mahmoudz/Hello-API,PHP,69,174
wout/svg.js,JavaScript,65,317
cosven/FeelUOwn,Python,131,594
rancher/rancher,PHP,60,1242
saltstack/salt,Python,3053,642
orientechnologies/orientdb,Java,500,291
linkedin/pinot,Java,207,177
chapmanb/bcbio-nextgen,Python,199,53
facebook/draft-js,JavaScript,147,6715
ianmiell/shutit,Python,126,50
gerrit-review/gerrit,Java,508,54
gravitational/teleport,PHP,235,751
zloirock/core-js,JavaScript,84,595
spring-cloud/spring-cloud-sleuth,Java,84,64
pac4j/pac4j,Java,72,176
LightningNetwork/lnd,PHP,432,489
google/closure-templates,Java,177,55
OpenHFT/Chronicle-Queue,Java,127,168
apache/zookeeper,Java,112,399
elves/elvish,PHP,71,153
alibaba/fastjson,Java,832,1660
ponyorm/pony,Python,298,70
aol/cyclops-react,Java,196,101
weaveworks/scope,PHP,131,284
ilius/pyglossary,Python,102,63
mpetazzoni/ttorrent,Java,67,77
AlloyTeam/Nuclear,JavaScript,338,143
conan-io/conan,Python,209,190
whitef0x0/tellform,JavaScript,140,469
travis-ci/travis-web,JavaScript,118,81
badges/shields,JavaScript,88,562
concourse/concourse,PHP,513,588
react-bootstrap/react-bootstrap,JavaScript,87,1838
melonjs/melonJS,JavaScript,84,124
nightwatchjs/nightwatch,JavaScript,73,864
github/git-lfs,PHP,66,582
timmolter/XChart,Java,60,68
datamade/dedupe,Python,60,135
jenkinsci/blueocean-plugin,JavaScript,59,789
TrueCar/gluestick,JavaScript,173,112
zacyu/bilibili-helper,JavaScript,157,242
real-logic/Aeron,Java,83,410
reactor/reactor-core,Java,189,143
springfox/springfox,Java,151,263
Laravel-Backpack/crud,JavaScript,125,80
druid-io/druid,Java,95,1186
speedment/speedment,Java,71,319
SpongePowered/SpongeForge,Java,59,57
stanfordnlp/CoreNLP,Java,114,606
blevesearch/bleve,PHP,76,330
Codeception/CodeceptJS,JavaScript,74,181
docker/docker,PHP,665,5052
golang/go,PHP,119,4620
serge-rider/dbeaver,Java,252,427
ncw/rclone,PHP,183,882
machinalis/iepy,Python,59,82
languagetool-org/languagetool,Java,664,200
golang/tools,PHP,433,162
erikras/redux-form,JavaScript,68,1478
prebid/Prebid.js,JavaScript,437,117
dequelabs/axe-core,JavaScript,197,106
wenzhixin/bootstrap-table,JavaScript,136,988
TheOdinProject/theodinproject,Ruby,131,90
apereo/cas,Java,87,87
IdeaSpaceVR/IdeaSpace,PHP,65,95
hwi/HWIOAuthBundle,PHP,134,148
woothemes/woocommerce,PHP,81,341
nil0x42/phpsploit,Python,61,227
log2timeline/plaso,Python,114,60
wp-cli/wp-cli,PHP,64,305
etsy/phan,PHP,173,435
FineUploader/fine-uploader,JavaScript,116,302
ethereum/ethereumj,Java,76,109
danmayer/coverband,Ruby,70,76
geotools/geotools,Java,172,51
vmware/govmomi,PHP,88,56
mochajs/mocha,JavaScript,67,1432
Azure/azure-sdk-for-python,Python,615,51
LLNL/spack,Python,288,58
google/truth,Java,156,119
micro/micro,PHP,124,2062
cakephp/cakephp,PHP,106,480
google/dagger,Java,93,1397
chrislusf/seaweedfs,PHP,671,530
pupil-labs/pupil,Python,258,63
avwo/whistle,JavaScript,127,72
kakserpom/phpdaemon,PHP,223,87
jamesdbloom/mockserver,Java,139,170
supergiant/supergiant,PHP,131,113
rzwitserloot/lombok,Java,90,627
HubSpot/Singularity,Java,110,83
stylelint/stylelint,JavaScript,82,1021
orika-mapper/orika,Java,82,55
plotly/plotly.py,Python,78,624
cockroachdb/cockroach,PHP,77,1176
coderaiser/cloudcmd,JavaScript,275,56
jooby-project/jooby,Java,121,136
aFarkas/webshim,JavaScript,115,72
lucas-clemente/quic-go,PHP,105,210
gwpy/gwpy,Python,741,186
buildbot/buildbot,Python,524,305
Automattic/amp-wp,PHP,256,450
kataras/iris,PHP,113,1260
Netflix/security_monkey,Python,106,119
AxonFramework/AxonFramework,Java,264,99
PrismarineJS/mineflayer,JavaScript,69,107
sharelatex/sharelatex,JavaScript,250,351
jumpserver/jumpserver,Python,119,296
flarum/core,PHP,82,206
kayhayen/Nuitka,Python,72,148
gopherjs/gopherjs,PHP,65,606
snipe/snipe-it,PHP,115,215
angr/angr,Python,91,313
GPflow/GPflow,Python,81,115
reactioncommerce/reaction,JavaScript,200,629
codeborne/selenide,Java,104,100
pkg/sftp,PHP,63,57
pods-framework/pods,PHP,63,57
robmorgan/phinx,PHP,62,436
cloudfoundry/cli,PHP,186,140
uber/tchannel-node,JavaScript,58,62
