name,language,commits,watch_count
apache/solr,Java,925,16
MushroomObserver/mushroom-observer,Ruby,264,3
jeedom/core,PHP,1141,25
gwpy/gwpy,Python,741,186
dimagi/commcare-hq,Python,1237,15
influxdata/influxdb,PHP,999,1229
shoopio/shoop,Python,249,162
olifolkerd/tabulator,JavaScript,235,36
symfony/property-access,PHP,192,2
yiisoft/yii2-framework,PHP,180,20
atk4/atk4,PHP,174,5
rancher/ui,JavaScript,383,43
GoogleCloudPlatform/java-docs-samples,Java,301,45
reactioncommerce/reaction,JavaScript,200,629
praetorian-inc/pentestly,Python,189,420
google/auto,Java,186,937
twinh/wei,PHP,421,3
ponyorm/pony,Python,298,70
linuxdeepin/startdde,PHP,240,3
GoogleCloudPlatform/nodejs-docs-samples,JavaScript,200,83
apache/axis2-java,Java,715,6
Symbiota/Symbiota,PHP,214,3
markovmodel/PyEMMA,Python,211,20
aol/cyclops-react,Java,196,101
zendframework/zend-validator,PHP,188,4
zendframework/zend-view,PHP,179,5
sthiele/pyasp,Python,179,3
etsy/phan,PHP,173,435
languagetool-org/languagetool,Java,664,200
ngageoint/scale,Python,248,24
webanno/webanno,Java,244,11
dequelabs/axe-core,JavaScript,197,106
angular/angular.js,JavaScript,184,5347
vivisect/vivisect,Python,182,67
golang/tools,PHP,433,162
z-song/laravel-admin,PHP,376,23
CityOfPhiladelphia/phila.gov,PHP,199,3
ATLauncher/ATLauncher,Java,196,16
ncw/rclone,PHP,183,882
wikimedia/pywikibot-core,Python,500,20
vanadium/go.ref,PHP,361,9
rmosolgo/graphql-ruby,Ruby,177,216
slidewiki/slidewiki-platform,JavaScript,242,10
GooTechnologies/goojs,JavaScript,209,157
Azure/azure-sdk-for-go,PHP,196,49
apache/sis,Java,188,6
adam-boduch/coyote,PHP,575,8
gerrit-review/gerrit,Java,508,54
collectiveaccess/providence,PHP,357,15
spring-cloud/spring-cloud-stream,Java,350,35
gkc1000/pyscf,Python,261,3
docker/docker,PHP,665,5052
ShifuML/shifu,Java,351,7
coderaiser/cloudcmd,JavaScript,275,56
serge-rider/dbeaver,Java,252,427
tulip-control/tulip-control,Python,192,6
arifogel/batfish,Java,488,7
ChurchCRM/CRM,PHP,309,31
sdpython/pyquickhelper,Python,305,3
appium/appium,JavaScript,269,741
symfony/dom-crawler,PHP,230,44
blazegraph/database,Java,714,90
CCI-MIT/XCoLab,Java,492,2
zenodo/zenodo,Python,211,10
